title,authors,journal,year,doi,pmid,source_query
Mass Spectrometry-Based Peptidomics for the Discovery and Profiling of Endogenous Peptides in Crustacean Hemolymph.,"Dang TC, Tran VNH, Protya SS, Beaver M, Yi KW, Li L.",,2026,10.1021/acsomega.6c00679,42179631,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Global Profiling of Post-Translationally Modified Crustacean Neuropeptidome Trends Affiliated with Feeding Activity.,"Fields L, Selby KG, Hayes MM, Corsetti P, Gao T, Li L.",,2026,10.1021/jasms.6c00017,41848780,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Quantitative Neuropeptidomics Reveals Thermal Acclimation-Induced Remodeling of Peptidergic Signaling in the American Lobster  <i>Homarus americanus</i>,"Tran VNH, Kedia S, Lu G, Selby KG, Duong T, Del Mundo Z, Marder E, Li L.",,2026,10.64898/2026.03.07.710231,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
In silico analysis of the slipper lobster (Thenus australiensis) neuropeptidome reveals unique enrichment of peptide hormones in reproductive tissues using multi-tissue transcriptomics.,"Banks TM, Glendinning S, Lewis C, Bhojwani A, Fitzgibbon QP, Smith GG, Ventura T.",,2026,10.1016/j.ygcen.2025.114855,41271029,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Identification of neuropeptide networks involved in the ecdysis program of a crustacean model: Carcinus maenas reveal similarities and differences to insects that reflect evolutionary divergence in structure and function.,"Hoppes JL, Wilcockson DC, Hayle MGB, Larrad E, Webster SG.",,2026,10.1186/s12915-026-02603-w,42015222,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Robustness tuning: mechanisms of acclimation-driven plasticity in a central pattern generator,"Kedia S, Kenngott M, Marder E.",,2026,10.64898/2026.07.07.737058,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Characterization of the Crustacean Methyl Farnesoate Transcriptional Signaling Genes.,"Bentley VL, Pérez-Moreno JL, Durica DS, Mykles DL.",,2026,10.3390/ijms27031215,41683643,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Neuropeptide Diversity Encoded in Newly Sequenced Crustacean Genomes Reveals Signaling Roles during Feeding.,"Fields L, Tran VNH, Duong T, Dang TC, Selby KG, Li L.",,2026,10.1021/acschemneuro.6c00123,42276778,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Crustacean cardioactive peptide activates pupal ecdysial behavior in the 28-spotted larger potato ladybird.,"Wu YK, Wu N, Zheng WK, Ding LK, Wu YF, Jin L, Li GQ.",,2026,10.1016/j.pestbp.2026.107102,42034447,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Insights into American lobster (Homarus americanus) defence mechanisms against Vibrio splendidus.,"Fazelan Z, Fraser Clark K.",,2026,10.1016/j.fsi.2025.111059,41354110,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
