cNPDB ID,category,acknowledged_by,date,reason
9001,missing_DOI,placeholder,2026-07-15,"EXAMPLE ROW - shows the format; ID 9001 does not exist, so this clears nothing"
9002,missing_OS,placeholder,2026-07-15,EXAMPLE ROW - illustrative only; delete when you record real acknowledgements
1376,inline_modification_in_Sequence,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1377,inline_modification_in_Sequence,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1378,inline_modification_in_Sequence,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
20,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
141,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
161,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
162,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
174,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
176,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
178,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
179,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
187,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
192,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
196,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
237,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
242,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
246,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
248,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
253,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
255,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
265,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
266,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
272,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
277,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
280,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
283,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
286,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
287,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
289,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
292,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
296,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
297,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
301,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
302,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
303,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
305,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
307,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
308,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
309,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
312,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
315,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
316,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
317,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
318,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
321,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
323,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
324,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
325,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
326,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
328,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
329,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
330,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
331,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
332,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
333,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
334,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
336,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
337,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
338,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
339,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
340,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
342,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
343,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
344,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
346,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
347,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
351,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
352,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
353,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
354,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
355,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
435,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
445,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
491,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
504,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
513,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
518,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
533,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
537,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
540,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
