title,authors,journal,year,doi,score
Mass Spectrometry-Based Peptidomics for the Discovery and Profiling of Endogenous Peptides in Crustacean Hemolymph.,"Dang TC, Tran VNH, Protya SS, Beaver M, Yi KW, Li L.",,2026,10.1021/acsomega.6c00679,6
Global Profiling of Post-Translationally Modified Crustacean Neuropeptidome Trends Affiliated with Feeding Activity.,"Fields L, Selby KG, Hayes MM, Corsetti P, Gao T, Li L.",,2026,10.1021/jasms.6c00017,6
Quantitative Neuropeptidomics Reveals Thermal Acclimation-Induced Remodeling of Peptidergic Signaling in the American Lobster  <i>Homarus americanus</i>,"Tran VNH, Kedia S, Lu G, Selby KG, Duong T, Del Mundo Z, Marder E, Li L.",,2026,10.64898/2026.03.07.710231,6
In silico analysis of the slipper lobster (Thenus australiensis) neuropeptidome reveals unique enrichment of peptide hormones in reproductive tissues using multi-tissue transcriptomics.,"Banks TM, Glendinning S, Lewis C, Bhojwani A, Fitzgibbon QP, Smith GG, Ventura T.",,2026,10.1016/j.ygcen.2025.114855,6
Identification of neuropeptide networks involved in the ecdysis program of a crustacean model: Carcinus maenas reveal similarities and differences to insects that reflect evolutionary divergence in structure and function.,"Hoppes JL, Wilcockson DC, Hayle MGB, Larrad E, Webster SG.",,2026,10.1186/s12915-026-02603-w,6
Neuropeptide Diversity Encoded in Newly Sequenced Crustacean Genomes Reveals Signaling Roles during Feeding.,"Fields L, Tran VNH, Duong T, Dang TC, Selby KG, Li L.",,2026,10.1021/acschemneuro.6c00123,6
Bridging genomes and peptidomes: hybrid sequencing reveals conserved bioactive peptides in crustaceans,"Fields L, Qin J, Ibarra AE, Selby KG, Gao T, Dang TC, Lu H, Li L.",,2026,10.64898/2026.05.04.721987,6
Characterization of a crustacean hyperglycemic hormone of the horsehair crab Erimacrus isenbeckii.,"Toyota K, Kajimoto A, Ando Y, Takeuchi K, Ohira T.",,2025,10.1016/j.ygcen.2025.114777,6
Characterization of a crustacean hyperglycemic hormone of the horsehair crab  <i>Erimacrus isenbeckii</i>,"Toyota K, Kajimoto A, Ando Y, Takeuchi K, Ohira T.",,2025,10.1101/2025.04.26.650751,6
"Transcriptional and Translational Analysis of the Expression of CHH, MIH, and GIH in PmLyO-Sf9 Cell Line Towards Developing a Novel In Vitro Model for Shrimp Endocrinology.","Gopika VS, Muneer A, Limmy TP, Sukumaran V, Anoop BS, Puthumana J, Singh ISB.",,2025,10.1007/s10126-025-10505-1,6
Identification and Functional Analysis of a Key Gene in the CHH Gene Family for Glucose Metabolism in the Pacific White Shrimp &lt;i&gt;Litopenaeus vannamei&lt;/i&gt;.,"Zhang C, Zhang X, Si S, Sun M, Li A, Yuan J, Li F.",,2025,10.3390/ijms26104612,6
Key Neuropeptides Regulating Molting in Pacific White Shrimp (<i>Penaeus vannamei</i>): Insights from Transcriptomic Analysis.,"Li X, Li Y, Li Z, Chen H.",,2025,10.3390/ani15040540,6
